CONTRACT TYPE,SYMBOL,EXPIRY,STRIKE,OPTION TYPE,OPEN,HIGH,LOW,CLOSE,L T DATE,WT. AVG. PRICE,PREM/DISC,PREM/DISC(%),CONTRACTS_TRADED,TURNOVER (RS.LAKHS),OPEN INTEREST,CHANGE IN OI,% CHANGE IN OI,COST OF CARRY % P.A.,MARGIN %,MARGIN VALUE,IS_TRADED
FUTCUR,USDINR,04 Oct 2019,,,70.7800,71.1775,70.7575,71.0900,04 Oct 2019,-,-,-,31825,22596.49,33319,17365,108.84,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,72.2500,CALL,0.0075,0.0075,0.0075,0.0025,04 Oct 2019,-,-,-,1,0.72,1,1,0.00,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.7500,CALL,0.0150,0.0400,0.0100,0.0100,04 Oct 2019,-,-,-,10685,7668.95,5866,-5008,-46.05,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.7500,CALL,0.1825,0.4650,0.1775,0.3875,04 Oct 2019,-,-,-,16035,11387.81,19862,4548,29.70,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.2500,PUT,0.4750,0.5200,0.2250,0.2575,04 Oct 2019,-,-,-,14033,10045.93,13529,12693,1518.30,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.0000,CALL,0.9500,0.9500,0.9500,1.0900,04 Oct 2019,-,-,-,4,2.84,42,0,0.00,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.2500,PUT,0.0275,0.0300,0.0075,0.0025,04 Oct 2019,-,-,-,5043,3544.08,4028,439,12.23,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.5000,PUT,0.0700,0.0700,0.0125,0.0150,04 Oct 2019,-,-,-,11724,8269.59,4232,-1840,-30.30,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.0000,CALL,0.0900,0.3025,0.0875,0.2125,04 Oct 2019,-,-,-,17920,12752.27,31589,4052,14.71,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.5000,PUT,0.7200,0.7525,0.4225,0.4450,04 Oct 2019,-,-,-,1112,801.06,1253,547,77.48,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,72.0000,CALL,0.0075,0.0175,0.0050,0.0025,04 Oct 2019,-,-,-,72159,51959.77,500,290,138.10,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,69.5000,PUT,0.0000,0.0000,0.0000,0.0025,04 Oct 2019,-,-,-,0,0.00,55,0,0.00,-,-,-,N
OPTCUR,USDINR,04 Oct 2019,70.2500,CALL,0.5775,0.6800,0.5775,0.8425,04 Oct 2019,-,-,-,29,20.56,100,15,17.65,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.7500,PUT,0.6650,0.6800,0.6650,0.6700,04 Oct 2019,-,-,-,10,7.24,10,10,0.00,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.5000,CALL,0.3400,0.6625,0.3300,0.6050,04 Oct 2019,-,-,-,15483,10987.12,28261,12619,80.67,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.7500,PUT,0.1425,0.1700,0.0375,0.0475,04 Oct 2019,-,-,-,16153,11441.28,4510,-875,-16.25,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.0000,PUT,0.0100,0.0150,0.0025,0.0025,04 Oct 2019,-,-,-,188888,132242.25,84,39,86.67,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.2500,CALL,0.0425,0.1525,0.0400,0.0975,04 Oct 2019,-,-,-,19382,13826.54,4100,2588,171.16,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.5000,CALL,0.0250,0.0750,0.0200,0.0350,04 Oct 2019,-,-,-,13843,9903.39,19571,7850,66.97,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.0000,PUT,0.3075,0.3200,0.1075,0.1225,04 Oct 2019,-,-,-,8643,6153.74,41384,1668,4.20,-,-,-,Y
FUTCUR,USDINR,11 Oct 2019,,,70.9775,71.1175,70.9700,71.1450,11 Oct 2019,-,-,-,36,25.56,373,0,0.00,-,-,-,Y
FUTCUR,USDINR,18 Oct 2019,,,71.0500,71.0500,71.0400,71.1975,18 Oct 2019,-,-,-,2,1.42,0,0,0.00,-,-,-,Y
FUTCUR,USDINR,25 Oct 2019,,,71.2500,71.2500,71.2450,71.2525,25 Oct 2019,-,-,-,2,1.42,166,0,0.00,-,-,-,Y
FUTCUR,EURUSD,29 Oct 2019,,,1.0925,1.0928,1.0925,1.0928,29 Oct 2019,-,-,-,2,1.55,0,0,0.00,-,-,-,Y
FUTCUR,GBPINR,29 Oct 2019,,,87.2700,87.8600,87.2700,87.7575,29 Oct 2019,-,-,-,725,635.37,992,66,7.13,-,-,-,Y
FUTCUR,JPYINR,29 Oct 2019,,,65.7325,66.0250,65.6575,65.9550,29 Oct 2019,-,-,-,1659,1092.76,764,193,33.80,-,-,-,Y
FUTCUR,USDINR,29 Oct 2019,,,70.8975,71.3650,70.8975,71.2850,29 Oct 2019,-,-,-,1497911,1065859.44,459049,-23140,-4.80,-,-,-,Y
FUTCUR,EURINR,29 Oct 2019,,,77.5000,77.9850,77.4675,77.9025,29 Oct 2019,-,-,-,609,473.45,800,-16,-1.96,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,73.5000,CALL,0.0000,0.0000,0.0000,0.0225,29 Oct 2019,-,-,-,0,0.00,6315,0,0.00,-,-,-,N
OPTCUR,USDINR,29 Oct 2019,72.7500,CALL,0.1100,0.1100,0.1100,0.0800,29 Oct 2019,-,-,-,4,2.91,1326,0,0.00,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,74.0000,CALL,0.0175,0.0175,0.0175,0.0075,29 Oct 2019,-,-,-,230,170.24,1508,0,0.00,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,73.2500,CALL,0.0000,0.0000,0.0000,0.0350,29 Oct 2019,-,-,-,0,0.00,5000,0,0.00,-,-,-,N
OPTCUR,USDINR,29 Oct 2019,72.5000,PUT,0.0000,0.0000,0.0000,1.3275,29 Oct 2019,-,-,-,0,0.00,391,0,0.00,-,-,-,N
OPTCUR,USDINR,29 Oct 2019,72.5000,CALL,0.0900,0.1425,0.0850,0.1150,29 Oct 2019,-,-,-,181741,131962.79,8022,2077,34.94,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,72.2500,PUT,0.0000,0.0000,0.0000,1.1275,29 Oct 2019,-,-,-,0,0.00,58,0,0.00,-,-,-,N
OPTCUR,USDINR,29 Oct 2019,73.0000,PUT,0.0000,0.0000,0.0000,1.7650,29 Oct 2019,-,-,-,0,0.00,50,0,0.00,-,-,-,N
OPTCUR,USDINR,29 Oct 2019,72.2500,CALL,0.1150,0.1800,0.1125,0.1625,29 Oct 2019,-,-,-,214,154.91,3598,0,0.00,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,73.0000,CALL,0.0475,0.0725,0.0425,0.0525,29 Oct 2019,-,-,-,291523,212951.98,2948,260,9.67,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,73.7500,CALL,0.0000,0.0000,0.0000,0.0125,29 Oct 2019,-,-,-,0,0.00,1326,0,0.00,-,-,-,N
OPTCUR,USDINR,29 Oct 2019,71.0000,PUT,0.4925,0.4925,0.3325,0.3725,29 Oct 2019,-,-,-,4747,3388.34,17240,355,2.10,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,71.2500,CALL,0.3625,0.5325,0.3625,0.5200,29 Oct 2019,-,-,-,1134,813.41,5333,0,0.00,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,70.5000,CALL,0.7500,0.9675,0.7500,0.9850,29 Oct 2019,-,-,-,213,152.05,2737,104,3.95,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,72.0000,CALL,0.1575,0.2500,0.1500,0.2250,29 Oct 2019,-,-,-,19747,14251.78,25726,-1000,-3.74,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,71.2500,PUT,0.5675,0.5675,0.4525,0.4850,29 Oct 2019,-,-,-,672,482.13,709,14,2.01,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,69.5000,PUT,0.0625,0.0650,0.0400,0.0425,29 Oct 2019,-,-,-,274670,191057.03,2148,46,2.19,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,69.0000,CALL,0.0000,0.0000,0.0000,2.2925,29 Oct 2019,-,-,-,0,0.00,2100,0,0.00,-,-,-,N
OPTCUR,USDINR,29 Oct 2019,70.5000,PUT,0.2700,0.2700,0.1725,0.2025,29 Oct 2019,-,-,-,4055,2866.44,5822,688,13.40,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,70.7500,CALL,0.5825,0.8250,0.5800,0.8100,29 Oct 2019,-,-,-,2822,2016.16,4386,2711,161.85,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,72.0000,PUT,1.0850,1.0850,0.9400,0.9400,29 Oct 2019,-,-,-,305,222.80,3202,0,0.00,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,71.5000,CALL,0.2650,0.4075,0.2650,0.4025,29 Oct 2019,-,-,-,1344,966.04,16876,-309,-1.80,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,70.2500,PUT,0.1675,0.1675,0.1200,0.1450,29 Oct 2019,-,-,-,105658,74358.91,5457,361,7.08,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,69.7500,PUT,0.0575,0.0625,0.0550,0.0650,29 Oct 2019,-,-,-,41721,29124.86,1552,0,0.00,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,71.7500,PUT,0.9725,0.9725,0.8800,0.7700,29 Oct 2019,-,-,-,500,363.42,2060,-396,-16.12,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,69.0000,PUT,0.0350,0.0350,0.0225,0.0150,29 Oct 2019,-,-,-,470847,325031.73,5188,-1,-0.02,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,70.7500,PUT,0.3200,0.3200,0.2450,0.2775,29 Oct 2019,-,-,-,1173,833.22,2561,668,35.29,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,70.0000,PUT,0.1350,0.1350,0.0875,0.1000,29 Oct 2019,-,-,-,179763,126028.33,12040,384,3.29,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,66.0000,CALL,4.9100,4.9100,4.9100,5.2675,29 Oct 2019,-,-,-,300,212.73,700,300,75.00,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,71.5000,PUT,0.8000,0.8025,0.5800,0.6175,29 Oct 2019,-,-,-,5204,3758.35,4649,1247,36.65,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,71.7500,CALL,0.2075,0.3150,0.2000,0.3050,29 Oct 2019,-,-,-,2621,1886.23,4199,-353,-7.75,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,71.0000,CALL,0.4725,0.6700,0.4725,0.6550,29 Oct 2019,-,-,-,2452,1755.37,5365,-16,-0.30,-,-,-,Y
OPTCUR,USDINR,29 Oct 2019,68.0000,PUT,0.0000,0.0000,0.0000,0.0025,29 Oct 2019,-,-,-,0,0.00,20,0,0.00,-,-,-,N
FUTIRD,726GS2029,31 Oct 2019,0.0000,,103.8800,104.1300,103.5000,103.9075,31 Oct 2019,-,-,-,9225,19161.27,58157,5243,9.91,-,-,-,Y
FUTIRD,717GS2028,31 Oct 2019,0.0000,,101.9462,101.9925,101.9462,102.4075,31 Oct 2019,-,-,-,7050,14379.34,0,-4140,-100.00,-,-,-,Y
FUTIRD,668GS2031,31 Oct 2019,0.0000,,97.5375,97.5375,97.5375,98.6925,31 Oct 2019,-,-,-,1235,2409.18,1295,1235,2058.33,-,-,-,Y
FUTIRD,757GS2033,31 Oct 2019,0.0000,,0.0000,0.0000,0.0000,105.5125,31 Oct 2019,-,-,-,0,0.00,5000,0,0.00,-,-,-,N
FUTCUR,USDINR,22 Nov 2019,,,0.0000,0.0000,0.0000,71.4700,22 Nov 2019,-,-,-,0,0.00,4,0,0.00,-,-,-,N
FUTCUR,USDINR,27 Nov 2019,,,71.1850,71.5750,71.1600,71.5075,27 Nov 2019,-,-,-,110447,78883.40,54826,11650,26.98,-,-,-,Y
OPTCUR,USDINR,27 Nov 2019,71.5000,PUT,0.0000,0.0000,0.0000,0.7125,27 Nov 2019,-,-,-,0,0.00,27,0,0.00,-,-,-,N
OPTCUR,USDINR,27 Nov 2019,72.0000,CALL,0.4000,0.4000,0.4000,0.5000,27 Nov 2019,-,-,-,100,72.40,100,100,0.00,-,-,-,Y
OPTCUR,USDINR,27 Nov 2019,72.5000,CALL,0.0000,0.0000,0.0000,0.3325,27 Nov 2019,-,-,-,0,0.00,27,0,0.00,-,-,-,N
FUTIRD,726GS2029,28 Nov 2019,0.0000,,104.2750,104.2750,104.1800,103.7650,28 Nov 2019,-,-,-,2485,5180.11,860,-765,-47.08,-,-,-,Y
FUTIRD,668GS2031,28 Nov 2019,0.0000,,98.0300,98.0300,98.0300,98.5700,28 Nov 2019,-,-,-,1235,2421.34,1235,1235,0.00,-,-,-,Y
FUTIRD,795GS2032,28 Nov 2019,0.0000,,0.0000,0.0000,0.0000,107.3875,28 Nov 2019,-,-,-,0,0.00,1400,0,0.00,-,-,-,N
FUTIRD,717GS2028,28 Nov 2019,0.0000,,102.4962,102.4962,102.2175,102.2650,28 Nov 2019,-,-,-,7050,14434.51,0,-4140,-100.00,-,-,-,Y
FUTIRD,726GS2029,26 Dec 2019,0.0000,,0.0000,0.0000,0.0000,103.6150,26 Dec 2019,-,-,-,0,0.00,10000,0,0.00,-,-,-,N
FUTIRD,795GS2032,26 Dec 2019,0.0000,,0.0000,0.0000,0.0000,107.1950,26 Dec 2019,-,-,-,0,0.00,12500,0,0.00,-,-,-,N
FUTIRD,727GS2026,26 Dec 2019,0.0000,,0.0000,0.0000,0.0000,103.6300,26 Dec 2019,-,-,-,0,0.00,22500,0,0.00,-,-,-,N
FUTCUR,USDINR,27 Dec 2019,,,71.7175,71.7875,71.6975,71.7425,27 Dec 2019,-,-,-,36,25.83,2399,0,0.00,-,-,-,Y
FUTCUR,USDINR,29 Jan 2020,,,71.9900,71.9900,71.9900,72.0475,29 Jan 2020,-,-,-,15,10.80,1628,0,0.00,-,-,-,Y
FUTCUR,USDINR,26 Feb 2020,,,0.0000,0.0000,0.0000,72.3375,26 Feb 2020,-,-,-,0,0.00,969,0,0.00,-,-,-,N
FUTCUR,USDINR,27 Mar 2020,,,72.4575,72.7475,72.4575,72.6675,27 Mar 2020,-,-,-,26,18.85,808,-10,-1.22,-,-,-,Y
FUTCUR,USDINR,28 Apr 2020,,,0.0000,0.0000,0.0000,72.9525,28 Apr 2020,-,-,-,0,0.00,433,0,0.00,-,-,-,N
FUTCUR,USDINR,27 May 2020,,,0.0000,0.0000,0.0000,73.2075,27 May 2020,-,-,-,0,0.00,903,0,0.00,-,-,-,N
FUTIRD,795GS2032,25 Jun 2020,0.0000,,0.0000,0.0000,0.0000,105.9125,25 Jun 2020,-,-,-,0,0.00,16100,0,0.00,-,-,-,N
FUTCUR,USDINR,29 Jul 2020,,,0.0000,0.0000,0.0000,73.7500,29 Jul 2020,-,-,-,0,0.00,50,0,0.00,-,-,-,N